[04-Jul-2017 14:33:27 Asia/Shanghai] PHP Notice:  Undefined index: account in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 52
[04-Jul-2017 14:33:27 Asia/Shanghai] PHP Notice:  Undefined index: username in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 53
[04-Jul-2017 14:33:27 Asia/Shanghai] PHP Notice:  Undefined index: pwd in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 54
[04-Jul-2017 14:41:00 Asia/Shanghai] PHP Warning:  count() expects at least 1 parameter, 0 given in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 37
[04-Jul-2017 14:41:00 Asia/Shanghai] PHP Catchable fatal error:  Object of class MongoCursor could not be converted to string in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 37
[04-Jul-2017 15:12:54 Asia/Shanghai] PHP Fatal error:  Declaration of Zhanghao\Practice\users\GeneralUser::getLowUserInfo() must be compatible with Zhanghao\Practice\users\Users::getLowUserInfo() in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 8
[04-Jul-2017 15:24:49 Asia/Shanghai] PHP Fatal error:  Class Zhanghao\Practice\mongo\MongoCurd contains 1 abstract method and must therefore be declared abstract or implement the remaining methods (Zhanghao\Practice\mongo\MyCurd::searchCount) in /var/www/html/test/zhanghao/users/mongo/MongoCurd.php on line 6
[04-Jul-2017 15:33:36 Asia/Shanghai] PHP Fatal error:  Uncaught exception 'MongoException' with message 'Cannot run command count(): $or needs an array' in /var/www/html/test/zhanghao/users/mongo/MongoCurd.php:50
Stack trace:
#0 /var/www/html/test/zhanghao/users/mongo/MongoCurd.php(50): MongoCursor->count()
#1 /var/www/html/test/zhanghao/users/users/GeneralUser.php(20): Zhanghao\Practice\mongo\MongoCurd->searchCount(Array)
#2 /var/www/html/test/zhanghao/users/index.php(12): Zhanghao\Practice\users\GeneralUser->createLowUser('admin', '123', 'root2', 2)
#3 {main}
  thrown in /var/www/html/test/zhanghao/users/mongo/MongoCurd.php on line 50
[04-Jul-2017 15:35:52 Asia/Shanghai] PHP Fatal error:  Uncaught exception 'MongoException' with message 'Cannot run command count(): unknown operator: $or' in /var/www/html/test/zhanghao/users/mongo/MongoCurd.php:50
Stack trace:
#0 /var/www/html/test/zhanghao/users/mongo/MongoCurd.php(50): MongoCursor->count()
#1 /var/www/html/test/zhanghao/users/users/GeneralUser.php(21): Zhanghao\Practice\mongo\MongoCurd->searchCount(Array)
#2 /var/www/html/test/zhanghao/users/index.php(12): Zhanghao\Practice\users\GeneralUser->createLowUser('admin', '123', 'root2', 2)
#3 {main}
  thrown in /var/www/html/test/zhanghao/users/mongo/MongoCurd.php on line 50
[04-Jul-2017 15:38:28 Asia/Shanghai] PHP Fatal error:  Uncaught exception 'MongoException' with message 'Cannot run command count(): unknown operator: $or' in /var/www/html/test/zhanghao/users/mongo/MongoCurd.php:50
Stack trace:
#0 /var/www/html/test/zhanghao/users/mongo/MongoCurd.php(50): MongoCursor->count()
#1 /var/www/html/test/zhanghao/users/users/GeneralUser.php(21): Zhanghao\Practice\mongo\MongoCurd->searchCount(Array)
#2 /var/www/html/test/zhanghao/users/index.php(12): Zhanghao\Practice\users\GeneralUser->createLowUser('admin', '123', 'root2', 2)
#3 {main}
  thrown in /var/www/html/test/zhanghao/users/mongo/MongoCurd.php on line 50
